score, centers, sigma, kmax
0.951000,70.000000,0.300000,1400.000000
0.951000,30.000000,0.200000,4800.000000
0.951000,90.000000,0.300000,2100.000000
0.951000,100.000000,0.300000,2100.000000
0.951000,80.000000,0.200000,3600.000000
0.951000,50.000000,0.300000,2200.000000
0.951000,50.000000,0.300000,1100.000000
0.951000,90.000000,0.300000,4000.000000
0.951000,80.000000,0.300000,2500.000000
0.951000,100.000000,0.400000,4100.000000
0.951000,50.000000,0.200000,4600.000000
0.951000,50.000000,0.300000,2600.000000
0.951000,90.000000,0.300000,2800.000000
0.951000,70.000000,0.200000,2200.000000
0.951000,100.000000,0.300000,3000.000000
0.950000,50.000000,0.300000,4200.000000
0.950000,30.000000,0.300000,1400.000000
0.950000,60.000000,0.200000,1000.000000
0.950000,30.000000,0.300000,3000.000000
0.950000,60.000000,0.300000,4900.000000
0.950000,100.000000,0.200000,2400.000000
0.950000,30.000000,0.300000,5000.000000
0.950000,100.000000,0.300000,2600.000000
0.950000,80.000000,0.200000,3300.000000
0.950000,70.000000,0.300000,4400.000000
0.950000,100.000000,0.100000,3200.000000
0.950000,90.000000,0.200000,1400.000000
0.950000,90.000000,0.200000,900.000000
0.950000,100.000000,0.400000,2700.000000
0.950000,90.000000,0.200000,1300.000000
0.950000,40.000000,0.300000,5000.000000
0.949000,60.000000,0.300000,4600.000000
0.949000,70.000000,0.300000,3000.000000
0.949000,30.000000,0.300000,3300.000000
0.949000,50.000000,0.200000,2400.000000
0.949000,70.000000,0.200000,1600.000000
0.949000,100.000000,0.200000,1100.000000
0.949000,70.000000,0.400000,3700.000000
0.949000,70.000000,0.400000,4800.000000
0.948000,40.000000,0.300000,3600.000000
0.948000,90.000000,0.300000,1800.000000
0.948000,70.000000,0.300000,700.000000
0.948000,40.000000,0.300000,2900.000000
0.948000,80.000000,0.200000,700.000000
0.948000,100.000000,0.100000,2800.000000
0.948000,70.000000,0.300000,2500.000000
0.948000,70.000000,0.300000,4000.000000
0.948000,30.000000,0.200000,4100.000000
0.948000,80.000000,0.300000,2100.000000
0.948000,80.000000,0.300000,4200.000000
0.948000,50.000000,0.300000,3000.000000
0.948000,80.000000,0.300000,2900.000000
0.948000,90.000000,0.400000,3900.000000
0.948000,60.000000,0.300000,3400.000000
0.948000,90.000000,0.300000,2300.000000
0.947000,50.000000,0.200000,900.000000
0.947000,40.000000,0.300000,3500.000000
0.947000,50.000000,0.200000,3400.000000
0.947000,100.000000,0.300000,1900.000000
0.947000,60.000000,0.300000,2200.000000
0.947000,90.000000,0.200000,1500.000000
0.947000,80.000000,0.400000,4800.000000
0.947000,40.000000,0.300000,2400.000000
0.947000,80.000000,0.200000,4300.000000
0.947000,80.000000,0.200000,3400.000000
0.946000,60.000000,0.300000,2100.000000
0.946000,100.000000,0.100000,2300.000000
0.946000,100.000000,0.200000,1200.000000
0.946000,60.000000,0.300000,4700.000000
0.946000,70.000000,0.300000,2400.000000
0.946000,100.000000,0.400000,3900.000000
0.946000,50.000000,0.300000,1800.000000
0.946000,100.000000,0.300000,1500.000000
0.946000,30.000000,0.300000,2500.000000
0.946000,90.000000,0.400000,3500.000000
0.945000,70.000000,0.300000,4200.000000
0.945000,90.000000,0.200000,800.000000
0.945000,100.000000,0.200000,800.000000
0.945000,80.000000,0.300000,1800.000000
0.945000,90.000000,0.200000,1800.000000
0.945000,50.000000,0.300000,1600.000000
0.945000,50.000000,0.300000,5000.000000
0.945000,100.000000,0.100000,2500.000000
0.945000,40.000000,0.400000,4000.000000
0.945000,30.000000,0.200000,4900.000000
0.945000,80.000000,0.200000,3700.000000
0.945000,50.000000,0.300000,4500.000000
0.945000,50.000000,0.400000,3700.000000
0.945000,70.000000,0.300000,3900.000000
0.945000,60.000000,0.200000,3700.000000
0.945000,30.000000,0.300000,3700.000000
0.945000,90.000000,0.200000,500.000000
0.944000,80.000000,0.200000,800.000000
0.944000,90.000000,0.400000,5000.000000
0.944000,30.000000,0.200000,4400.000000
0.944000,70.000000,0.200000,1300.000000
0.944000,60.000000,0.300000,3700.000000
0.944000,90.000000,0.400000,4200.000000
0.944000,60.000000,0.300000,3300.000000
0.944000,100.000000,0.300000,3200.000000
0.944000,100.000000,0.300000,3900.000000
0.944000,60.000000,0.400000,3800.000000
0.944000,100.000000,0.300000,4400.000000
0.944000,80.000000,0.400000,4200.000000
0.944000,100.000000,0.300000,4600.000000
0.943000,80.000000,0.200000,1100.000000
0.943000,90.000000,0.400000,4300.000000
0.943000,60.000000,0.400000,3400.000000
0.943000,80.000000,0.300000,3000.000000
0.943000,70.000000,0.300000,3200.000000
0.943000,50.000000,0.200000,4200.000000
0.943000,40.000000,0.200000,3200.000000
0.943000,90.000000,0.200000,1600.000000
0.943000,80.000000,0.300000,1700.000000
0.943000,50.000000,0.200000,2000.000000
0.943000,70.000000,0.200000,1200.000000
0.943000,80.000000,0.200000,3100.000000
0.943000,70.000000,0.300000,2300.000000
0.943000,60.000000,0.300000,2700.000000
0.943000,30.000000,0.200000,5000.000000
0.942000,40.000000,0.400000,4300.000000
0.942000,80.000000,0.200000,2200.000000
0.942000,100.000000,0.100000,2000.000000
0.942000,40.000000,0.300000,3200.000000
0.942000,90.000000,0.100000,3400.000000
0.942000,90.000000,0.100000,5000.000000
0.942000,100.000000,0.300000,4200.000000
0.942000,40.000000,0.300000,3100.000000
0.942000,90.000000,0.400000,4000.000000
0.942000,60.000000,0.300000,2600.000000
0.942000,100.000000,0.200000,500.000000
